pais,inflacion_promedio,inflacion_mediana,inflacion_min,inflacion_max,desviacion_estandar,coeficiente_variacion_pct
Panamá,0.9,0.76,-1.55,2.86,1.26,140.0
Ecuador,1.52,1.55,-0.34,3.97,1.61,105.9
Estados Unidos,2.76,2.13,0.12,8.0,2.18,79.0
Perú,3.65,3.4,1.51,8.33,2.07,56.7
América Latina y el Caribe,3.93,3.4,2.5,8.81,1.79,45.5
