pais,volatilidad_desv_estandar,coef_variacion_pct
Panamá,1.26,140.2
Ecuador,1.61,105.4
América Latina y el Caribe,1.79,45.5
Perú,2.07,56.6
Estados Unidos,2.18,78.8
